source,market_id,player_name,match_name,match_key,match_start_time,status,label,would_have_worked,n_pre_snapshots,pre_span_minutes,best_wave_pp,entry_time,entry_lead_minutes,entry_prob,peak_prob,peak_time,peak_lead_minutes,move_at_start_pp,max_dip_after_entry_pp,entry_spread,entry_volume,entry_velocity5_pp,entry_band,max_prematch_watch_score,n_prematch_score_rows,alerted_prematch,first_prematch_alert_type,first_prematch_alert_at,alerted_any
polymarket,0xe2215da45fe8c72a7382843dfd1d17859d6d7d7e9f6e344ec189fc519d91d5fd,Jiri Lehecka,Stuttgart Open: Jiri Lehecka vs Frances Tiafoe,frances tiafoe|jiri lehecka,2026-06-12T18:20:00,completed,wave_5pp,1,8,135.5,46.0,2026-06-12T15:31:11.960391,168.8,0.535,0.995,2026-06-12T17:43:52.004424,36.1,46.0,0.0,0.01,50000.03074200001,,30-60%,46.0,3,0,,,0
polymarket,0xf3f699feb08377fe36d4de5bf4f91f0a38c6f4109661878d37dbed754e30de8a,Matthew Dellavedova,ITF Maanshan: Matthew Dellavedova vs Chan-Yeong Oh,chan yeong oh|matthew dellavedova,2026-06-13T04:15:00,completed,wave_5pp,1,12,473.2,36.0,2026-06-12T21:18:25.151056,416.6,0.435,0.795,2026-06-12T22:50:44.867411,324.3,36.0,0.0,0.75,279.857261,-6.5,30-60%,36.0,8,0,,,0
polymarket,0x5448a8bd527fa3d4b8835adc4e74dd3b5d6de3de8150a5f06145534e64117118,Haydar Cem Gokpinar,ITF Kayseri: Haydar Cem Gokpinar vs Maxwell Mckennon,haydar cem gokpinar|maxwell mckennon,2026-06-13T07:00:00,completed,wave_5pp,1,14,751.9,22.0,2026-06-12T17:43:52.004424,796.1,0.29,0.51,2026-06-12T19:35:06.731085,684.9,-17.5,0.0,0.42,,,12-30%,30.0,14,0,,,0
polymarket,0x0a8460dd49a16c33b07877c7d8465890f0066322e20148000fdca7b4bcea171f,Filippo Romano,Ilkley: Filippo Romano vs Jack Pinnington Jones,filippo romano|jack pinnington jones,2026-06-12T18:15:00,completed,wave_5pp,1,8,135.5,19.0,2026-06-12T15:31:11.960391,163.8,0.305,0.495,2026-06-12T17:43:52.004424,31.1,19.0,0.0,0.01,7895.864016000004,,30-60%,49.0,4,1,PRE_SPIKE_CANDIDATE,2026-06-12T17:43:52.693341,1
polymarket,0xd9027272dd1f2d5fb8a174b5400afe279db7435e48ebf86fed049bbfca482d5e,Polina Iatcenko,ITF Hurghada: Polina Iatcenko vs Anastasia Tikhonova,anastasia tikhonova|polina iatcenko,2026-06-13T06:30:00,completed,wave_5pp,1,14,751.9,17.0,2026-06-12T19:35:06.731085,654.9,0.485,0.655,2026-06-12T21:18:25.151056,551.6,7.0,0.0,0.79,,,30-60%,38.0,13,0,,,0
polymarket,0x3a5365953ec1ef7aef38bb27c6b17c5e62f10f7f880610aa1932d30db4c5e833,Yujia Huang,ITF Wuning: Yujia Huang vs Sara Saito,sara saito|yujia huang,2026-06-13T04:15:00,completed,wave_5pp,1,12,473.2,8.0,2026-06-12T17:43:52.004424,631.1,0.36,0.44,2026-06-12T22:50:44.867411,324.3,6.5,0.0,0.16,,,30-60%,51.0,12,1,PRE_SPIKE_CANDIDATE,2026-06-12T22:50:47.546521,1
polymarket,0x9452ca1c5685379499aac32efde21fa708aed0ce2f37bf11e7fa9bc4d7d5d5fe,Martyna Kubka,ITF Hurghada: Martyna Kubka vs Gabriela Andrea Knutson,gabriela andrea knutson|martyna kubka,2026-06-13T06:30:00,completed,wave_5pp,1,14,751.9,8.0,2026-06-12T19:35:06.731085,654.9,0.48,0.56,2026-06-12T21:18:25.151056,551.6,1.0,0.0,0.92,,,30-60%,51.0,14,1,PRE_SPIKE_CANDIDATE,2026-06-12T22:53:59.933021,1
polymarket,0x754ee77cc53e1c12e29762858f5c7de2800631cc1bd3ea918ad3768131dd28f6,Pawit Sornlaksup,ITF Maanshan: Pawit Sornlaksup vs Kokoro Isomura,kokoro isomura|pawit sornlaksup,2026-06-13T02:00:00,completed,wave_5pp,1,12,473.2,7.0,2026-06-12T19:35:06.731085,384.9,0.415,0.485,2026-06-12T22:50:44.867411,189.3,7.0,0.0,0.13,,,30-60%,51.0,12,1,PRE_SPIKE_CANDIDATE,2026-06-12T22:50:47.232921,1
polymarket,0xa216444d6e76be4235e9978ed3b99b3b6dc2f6d7399b42b3db84b3156decf3c0,Hikaru Sato,ITF Tokyo: Hikaru Sato vs Kayo Nishimura,hikaru sato|kayo nishimura,2026-06-13T03:15:00,completed,wave_3pp,1,12,473.2,3.0,2026-06-12T16:25:19.324817,649.7,0.65,0.68,2026-06-12T21:18:25.151056,356.6,2.5,0.0,0.02,,,60%+,35.0,4,0,,,0
polymarket,0xae1458dfe0e23cd6d9a3945ee0d788c7be331f888b0dfa8eacafb6280fee34a3,Naoya Honda,ITF Tokyo: Naoya Honda vs Alan Magadan,alan magadan|naoya honda,2026-06-13T02:00:00,completed,wave_3pp,1,12,473.2,3.0,2026-06-12T16:25:19.324817,574.7,0.5,0.53,2026-06-12T17:43:52.004424,496.1,-4.5,0.0,1.0,,,30-60%,34.0,12,0,,,0
